Cat,Subcat ,url ,page,,,,
Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,,,,
Charcutería y quesos,Jamón curado y paleta,https://www.dia.es/charcuteria-y-quesos/jamon-curado-y-paleta/c/L2004,2,,,,
Charcutería y quesos,"Lomo, chorizo, fuet, salchichón",https://www.dia.es/charcuteria-y-quesos/lomo-chorizo-fuet-salchichon/c/L2005,3,,,,
Charcutería y quesos,"Queso curado, semicurado y tierno",https://www.dia.es/charcuteria-y-quesos/queso-curado-semicurado-y-tierno/c/L2007,3,,,,
Charcutería y quesos,Queso fresco,https://www.dia.es/charcuteria-y-quesos/queso-fresco/c/L2008,1,,,,
Charcutería y quesos,Queso azul y roquefort,https://www.dia.es/charcuteria-y-quesos/queso-azul-y-roquefort/c/L2009,1,,,,
Charcutería y quesos,Quesos fundidos y cremas,https://www.dia.es/charcuteria-y-quesos/quesos-fundidos-y-cremas/c/L2010,1,,,,
Charcutería y quesos,Quesos internacionales,https://www.dia.es/charcuteria-y-quesos/quesos-internacionales/c/L2011,1,,,,
Charcutería y quesos,Salchichas,https://www.dia.es/charcuteria-y-quesos/salchichas/c/L2206,2,,,,
Charcutería y quesos,"Foie, paté y sobrasada",https://www.dia.es/charcuteria-y-quesos/foie-pate-y-sobrasada/c/L2012,2,,,,
Carnicería,Pollo,https://www.dia.es/carniceria/pollo/c/L2202,1,,,,
Carnicería,Vacuno,https://www.dia.es/carniceria/vacuno/c/L2013,1,,,,
Carnicería,Cerdo,https://www.dia.es/carniceria/cerdo/c/L2014,2,,,,
Carnicería,Pavo,https://www.dia.es/carniceria/pavo/c/L2015,1,,,,
Carnicería,Conejo,https://www.dia.es/carniceria/conejo/c/L2016,1,,,,
Carnicería,Hamburguesas y carne picada,https://www.dia.es/carniceria/hamburguesas-y-carne-picada/c/L2017,1,,,,
"Pescados, mariscos y ahumados",Pescados,https://www.dia.es/pescados-mariscos-y-ahumados/pescados/c/L2019,1,,,,
"Pescados, mariscos y ahumados",Mariscos,https://www.dia.es/pescados-mariscos-y-ahumados/mariscos/c/L2194,1,,,,
"Pescados, mariscos y ahumados","Ahumados, salazones y preparados",https://www.dia.es/pescados-mariscos-y-ahumados/ahumados-salazones-y-preparados/c/L2020,1,,,,
"Pescados, mariscos y ahumados",Gulas y surimi,https://www.dia.es/pescados-mariscos-y-ahumados/gulas-y-surimi/c/L2021,1,,,,
Verduras,"Ajos, cebollas y puerros",https://www.dia.es/verduras/ajos-cebollas-y-puerros/c/L2022,1,,,,
Verduras,"Tomates, pimientos y pepinos",https://www.dia.es/verduras/tomates-pimientos-y-pepinos/c/L2023,1,,,,
Verduras,"Calabacín, calabaza y berenjena",https://www.dia.es/verduras/calabacin-calabaza-y-berenjena/c/L2181,1,,,,
Verduras,"Judías, brócolis y coliflores",https://www.dia.es/verduras/judias-brocolis-y-coliflores/c/L2024,1,,,,
Verduras,"Lechuga, escarolas y endivias",https://www.dia.es/verduras/lechuga-escarolas-y-endivias/c/L2027,1,,,,
Verduras,Patatas y zanahorias,https://www.dia.es/verduras/patatas-y-zanahorias/c/L2028,1,,,,
Verduras,Setas y champiñones,https://www.dia.es/verduras/setas-y-champinones/c/L2029,1,,,,
Verduras,Verduras y ensaladas preparadas,https://www.dia.es/verduras/verduras-y-ensaladas-preparadas/c/L2030,2,,,,
Verduras,Otras verduras,https://www.dia.es/verduras/otras-verduras/c/L2031,1,,,,
Frutas,Manzanas,https://www.dia.es/frutas/manzanas/c/L2032,1,,,,
Frutas,Platanos,https://www.dia.es/frutas/platanos/c/L2033,1,,,,
Frutas,Peras,https://www.dia.es/frutas/peras/c/L2034,1,,,,
Frutas,Naranjas y mandarinas,https://www.dia.es/frutas/naranjas-y-mandarinas/c/L2196,1,,,,
Frutas,Uvas,https://www.dia.es/frutas/uvas/c/L2035,1,,,,
Frutas,Limones y pomelos,https://www.dia.es/frutas/limones-y-pomelos/c/L2037,1,,,,
Frutas,Frutas del bosque,https://www.dia.es/frutas/frutas-del-bosque/c/L2038,1,,,,
Frutas,Frutas tropicales,https://www.dia.es/frutas/frutas-tropicales/c/L2039,1,,,,
Frutas,Frutas de temporada,https://www.dia.es/frutas/frutas-de-temporada/c/L2040,1,,,,
Frutas,Frutas deshidratadas,https://www.dia.es/frutas/frutas-deshidratadas/c/L2041,1,,,,
"Leche, huevos y mantequilla",Leche,https://www.dia.es/leche-huevos-y-mantequilla/leche/c/L2051,5,,,,
"Leche, huevos y mantequilla",Bebidas vegetales,https://www.dia.es/leche-huevos-y-mantequilla/bebidas-vegetales/c/L2052,1,,,,
"Leche, huevos y mantequilla",Batidos y horchatas,https://www.dia.es/leche-huevos-y-mantequilla/batidos-y-horchatas/c/L2053,1,,,,
"Leche, huevos y mantequilla",Huevos,https://www.dia.es/leche-huevos-y-mantequilla/huevos/c/L2055,1,,,,
"Leche, huevos y mantequilla",Mantequilla y margarina,https://www.dia.es/leche-huevos-y-mantequilla/mantequilla-y-margarina/c/L2056,1,,,,
"Leche, huevos y mantequilla",Nata,https://www.dia.es/leche-huevos-y-mantequilla/nata/c/L2054,1,,,,
Yogures y postres,"Yogures bífidus y colesterol
",https://www.dia.es/yogures-y-postres/yogures-bifidus-y-colesterol/c/L2078,4,,,,
Yogures y postres,Yogures naturales,https://www.dia.es/yogures-y-postres/yogures-naturales/c/L2079,1,,,,
Yogures y postres,Yogures desnatados,https://www.dia.es/yogures-y-postres/yogures-desnatados/c/L2080,1,,,,
