,Cat,Subcat,url_x,page,brand,display_name,expiration_days,image,object_id,product_info,sku_id,units_in_cart,units_in_stock,url_y,weight,currency,discount_percentage,is_club_price,is_promo_price,measure_unit,price,price_per_unit,strikethrough_price,id,promotions,average_weight,weight_in_grams
0,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Nuestra Alacena,Pechuga de pavo Nuestra Alacena sobre 2 x 200 g,0,/product_images/273810/273810_ISO_0_ES.jpg,273810,Sin gluten | Sin lactosa,273810,0,255,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273810,0,EUR,0,False,False,KILO,3.59,8.98,3.59,0,,,
1,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Nuestra Alacena,Jamón cocido extra Nuestra Alacena sobre 2 x 225 g,0,/product_images/273957/273957_ISO_0_ES.jpg,273957,Sin gluten | Sin lactosa,273957,0,257,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273957,0,EUR,0,False,False,KILO,3.52,7.82,3.52,0,,,
2,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Nuestra Alacena,Bacon en tiras Nuestra Alacena bandeja 2 x 100 g,0,/product_images/273750/273750_ISO_0_ES.jpg,273750,Sin gluten | Sin lactosa,273750,0,198,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273750,0,EUR,0,False,False,KILO,1.68,8.4,1.68,0,,,
3,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Nuestra Alacena,Bacon Nuestra Alacena sobre 200 g,0,/product_images/273749/273749_ISO_0_ES.jpg,273749,Sin gluten | Sin lactosa,273749,0,272,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273749,0,EUR,0,False,False,KILO,1.99,9.95,1.99,0,,,
4,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Nuestra Alacena,Jamón cocido extra 97% carne Nuestra Alacena sobre 150 g,0,/product_images/273737/273737_ISO_0_ES.jpg,273737,Sin gluten | Sin lactosa,273737,0,220,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273737,0,EUR,0,False,False,KILO,1.99,13.27,1.99,0,,,
5,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Nuestra Alacena,Pechuga de pavo 90% carne Nuestra Alacena sobre 120 g,0,/product_images/273965/273965_ISO_0_ES.jpg,273965,Sin gluten | Sin lactosa,273965,0,240,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273965,0,EUR,25,True,True,KILO,1.64,13.69,2.19,0,,,
6,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Elpozo,Jamón cocido extra Elpozo 1954 sobre 150 g,0,/product_images/146710/146710_ISO_0_ES.jpg,146710,Sin gluten | Sin lactosa,146710,0,124,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/146710,0,EUR,0,False,False,KILO,2.0,13.33,2.0,0,,,
7,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Nuestra Alacena,Mortadela Nuestra Alacena sobre 250 g,0,/product_images/273960/273960_ISO_0_ES.jpg,273960,Sin gluten,273960,0,91,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273960,0,EUR,0,False,False,KILO,1.25,5.0,1.25,0,,,
8,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Elpozo,Fiambre de pavo sándwich Elpozo bandeja 270 g,0,/product_images/178002/178002_ISO_0_ES.jpg,178002,Sin gluten,178002,0,86,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/178002,0,EUR,0,False,False,KILO,2.0,7.41,2.0,0,,,
9,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Campofrío,Pechuga de pavo Campofrío Finissimas sobre 115 g,0,/product_images/74043/74043_ISO_0_ES.jpg,74043,Sin gluten,74043,0,96,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/74043,0,EUR,0,False,False,KILO,2.29,19.91,2.29,0,,,
10,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Nuestra Alacena,Jamón cocido extra bajo en sal Nuestra Alacena sobre 200 g,0,/product_images/273736/273736_ISO_0_ES.jpg,273736,Sin gluten | Sin lactosa,273736,0,161,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273736,0,EUR,0,False,False,KILO,1.99,9.95,1.99,0,,,
11,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Nuestra Alacena,Mortadela con aceitunas Nuestra Alacena sobre 250 g,0,/product_images/273961/273961_ISO_0_ES.jpg,273961,Sin gluten,273961,0,84,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273961,0,EUR,0,False,False,KILO,1.45,5.8,1.45,0,,,
12,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Nuestra Alacena,Jamón de pavo Nuestra Alacena sobre 200 g,0,/product_images/273733/273733_ISO_0_ES.jpg,273733,Sin gluten | Sin lactosa,273733,0,158,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273733,0,EUR,0,False,False,KILO,1.65,8.25,1.65,0,,,
13,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Nuestra Alacena,Pechuga de pavo bajo en sal Nuestra Alacena sobre 200 g,0,/product_images/273731/273731_ISO_0_ES.jpg,273731,Sin gluten | Sin lactosa,273731,0,187,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273731,0,EUR,0,False,False,KILO,1.99,9.95,1.99,0,,,
14,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Nuestra Alacena,Lacón ahumado Nuestra Alacena sobre 200 g,0,/product_images/273745/273745_ISO_0_ES.jpg,273745,Sin gluten | Sin lactosa,273745,0,53,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273745,0,EUR,0,False,False,KILO,2.29,11.45,2.29,0,,,
15,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Elpozo,Bacon en lonchas Elpozo sobre 120 g,0,/product_images/162311/162311_ISO_0_ES.jpg,162311,Sin gluten,162311,0,110,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/162311,0,EUR,0,False,False,KILO,1.5,12.5,1.5,0,,,
16,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Campofrío,Pechuga de pavo braseado Campofrío sobre 75 g,0,/product_images/300740/300740_ISO_0_ES.jpg,300740,,300740,0,75,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/300740,0,EUR,0,False,False,KILO,1.0,13.33,1.0,0,,,
17,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Nuestra Alacena,Fiambre sándwich Nuestra Alacena sobre 250 g,0,/product_images/273740/273740_ISO_0_ES.jpg,273740,Sin gluten | Sin lactosa,273740,0,54,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/273740,0,EUR,0,False,False,KILO,1.59,6.36,1.59,0,,,
18,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Elpozo,Jamón de pavo con trufa y boletus Elpozo sobre 120 + 20 g,0,/product_images/255685/255685_ISO_0_ES.jpg,255685,Sin gluten | Sin lactosa,255685,0,28,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/255685,0,EUR,0,False,False,KILO,2.0,16.67,2.0,0,,,
19,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",https://www.dia.es/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/c/L2001,3,Elpozo,Fiambre de york Elpozo sobre 300 g,0,/product_images/137167/137167_ISO_0_ES.jpg,137167,Sin gluten,137167,0,54,/charcuteria-y-quesos/jamon-cocido-lacon-fiambres-y-mortadela/p/137167,0,EUR,0,False,False,KILO,2.0,6.67,2.0,0,,,
