id,name,packaging,unit_price,iva,unit_size,size_format,price_decreased
112,"Aceite de oliva 0,4º Hacendado",Botella,9.25,5,1.0,l,False
112,Aceite de oliva virgen extra Hacendado,Garrafa,29.55,5,3.0,l,False
112,Aceite de oliva virgen extra Hacendado,Botella,9.90,5,1.0,l,False
112,Aceite de oliva virgen extra Hacendado Gran Selección,Botella,8.10,5,0.75,l,False
112,Aceite de oliva 1º Hacendado,Garrafa,46.00,5,5.0,l,False
112,Aceite de oliva 1º Hacendado,Botella,9.25,5,1.0,l,False
112,Aceite de oliva virgen Hacendado,Garrafa,28.50,5,3.0,l,False
112,Aceite de oliva virgen Hacendado,Botella,9.55,5,1.0,l,False
112,Aceite de oliva suave Hacendado,Garrafa,27.60,5,3.0,l,False
112,Aceite de oliva virgen extra Hacendado,Spray,3.30,5,0.2,l,False
112,Aceite de oliva virgen extra Picual Casa Juncal,Botella,7.85,5,0.5,l,False
112,"Aceite de girasol refinado 0,2º Hacendado",Garrafa,6.95,5,5.0,l,False
112,"Aceite de girasol refinado 0,2º Hacendado",Botella,1.45,5,1.0,l,False
112,Aceite de coco virgen Hacendado,Bote,4.40,10,0.45,l,False
112,Vinagre de vino blanco Hacendado,Botella,0.75,10,1.0,l,False
112,Vinagre balsámico de Módena Hacendado,Botella,1.35,10,0.25,l,False
112,Vinagre de manzana Hacendado,Botella,0.90,10,1.0,l,False
112,Limón exprimido Hacendado,Botella,1.00,10,0.28,l,False
112,Crema de vinagre balsámico de Módena Hacendado,Botella,1.75,10,0.25,kg,False
112,Vinagre de Jerez reserva Hacendado,Botella,2.00,10,0.25,l,False
112,Reducción de vinagre Pedro Ximénez Hacendado,Botella,2.25,10,0.3,kg,False
112,"Aceite de oliva, vinagre y sal Merry",Paquete,2.20,10,0.1,l,False
112,Sal fina Hacendado,Paquete,0.35,10,1.0,kg,False
112,Sal fina de mesa Hacendado,Bote,0.60,10,0.25,kg,False
112,Sal yodada fina Hacendado,Paquete,0.35,10,1.0,kg,False
112,Sal gruesa Hacendado,Paquete,0.35,10,1.0,kg,False
112,Bicarbonato sódico Hacendado,Paquete,1.50,10,1.0,kg,False
112,Bicarbonato sódico Hacendado,Bote,1.10,10,0.3,kg,False
112,Sal marina en escamas Polasal,Bote,2.00,10,0.125,kg,False
112,Sal gruesa para hornear Hacendado,Paquete,0.95,10,2.0,kg,False
112,Sal de ajo Hacendado,Bote,1.80,10,0.13,kg,False
112,Sal de frutas sabor limón Hacendado,Bote,2.10,10,0.25,kg,False
112,Sal 60% menos de sodio Hacendado,Bote,2.30,10,0.25,kg,False
112,Preparado para salmón ahumado Hacendado,Bote,3.30,10,0.75,kg,False
112,Sal rosa del Himalaya Hacendado,Bote,1.80,10,0.25,kg,False
115,Orégano Hacendado,Bote,0.95,10,0.025,kg,False
115,Perejil Hacendado,Bote,0.95,10,0.018,kg,False
115,Hoja de laurel Hacendado,Paquete,0.80,10,0.012,kg,False
115,Hierbas provenzales Hacendado,Bote,1.20,10,0.025,kg,False
115,Albahaca Hacendado,Bote,1.25,10,0.02,kg,False
115,Romero Hacendado,Bote,1.35,10,0.04,kg,False
115,Tomillo Hacendado,Bote,1.05,10,0.024,kg,False
115,Eneldo Hacendado,Bote,1.85,10,0.018,kg,False
115,Cilantro Hacendado,Bote,1.85,10,0.012,kg,False
115,Ajo y Perejil Hacendado,Bote,1.35,10,0.074,kg,False
115,Colorante alimentario Hacendado,Bote,0.90,10,0.085,kg,False
115,Pimentón dulce Hacendado,Bote,1.00,10,0.056,kg,False
115,Pimentón dulce Hacendado,Bote,1.40,10,0.075,kg,False
115,Pimentón dulce de la Vera Hacendado,Bote,1.75,10,0.075,kg,False
115,Azafrán molido Hacendado,Paquete,1.75,10,0.0004,kg,False
115,Azafrán hebra Hacendado,Paquete,1.70,10,0.000375,kg,False
115,Pimentón picante Hacendado,Bote,1.35,10,0.06,kg,False
115,Pimienta negra molida Hacendado,Bote,1.05,10,0.07,kg,False
115,Molinillo pimienta negra Hacendado,Bote,1.65,10,0.065,kg,False
115,Pimienta negra en grano Hacendado,Bote,1.45,10,0.07,kg,False
115,Molinillo mix pimientas Hacendado,Bote,1.85,10,0.05,kg,False
115,Pimienta blanca molida Hacendado,Bote,2.15,10,0.07,kg,False
115,Ajo granulado Hacendado,Bote,1.15,0,0.115,kg,False
